market_id,market_name,crop_id,crop_name,n_samples,n_errors,n_direction_reversal,mean_confidence,mean_abs_next_return,error_rate,direction_reversal_rate
800,高雄市場,FE400,非洲菊-粉,204,109,91,0.47140172376327766,0.20313430184660608,0.5343137254901961,0.44607843137254904
109,台北一,LM1,莧菜-紅莧菜,209,112,90,0.5097325624815289,0.23206529754692123,0.5358851674641149,0.430622009569378
830,鳳山區,FD1,花胡瓜,223,133,89,0.4323307732599191,0.11198232503167474,0.5964125560538116,0.3991031390134529
700,台南市場,FE401,非洲菊-伊斯瑪拉,206,117,88,0.46445783382201034,0.13608553121855532,0.5679611650485437,0.42718446601941745
700,台南市場,FE416,非洲菊-熱情粉,206,123,88,0.4441143667052794,0.11496112512832818,0.5970873786407767,0.42718446601941745
800,高雄市場,FE205,非洲菊-哈利熊,212,115,87,0.4620779558618237,0.17099396633460415,0.5424528301886793,0.41037735849056606
700,台南市場,FE300,非洲菊-黃,204,114,86,0.4482213900458802,0.14392766930917375,0.5588235294117647,0.4215686274509804
800,高雄市場,FH293,向日葵-單瓣,212,107,85,0.5090034377809713,0.18283678464707318,0.5047169811320755,0.4009433962264151
800,高雄市,FD0,花胡瓜-其他,201,98,84,0.5176901976570172,0.19750440750849582,0.48756218905472637,0.417910447761194
241,三重區,LB1,小白菜-土白菜,205,95,84,0.5524636820519628,0.3123334546965561,0.4634146341463415,0.4097560975609756
220,板橋區,FY5,玉米-糯米黑,214,114,84,0.5067534850054957,0.14577697553132077,0.5327102803738317,0.3925233644859813
241,三重區,LD1,青江白菜-小梗,214,93,84,0.5058657924618577,0.2596565043164218,0.43457943925233644,0.3925233644859813
800,高雄市場,FE110,非洲菊-卡布,210,113,83,0.4867359411811736,0.18344791007285338,0.5380952380952381,0.3952380952380952
800,高雄市場,FE416,非洲菊-熱情粉,212,108,83,0.4517472722292458,0.1579632030756711,0.5094339622641509,0.3915094339622642
338,桃農,LA1,甘藍-初秋,213,111,83,0.49005243900059536,0.19091782680127456,0.5211267605633803,0.38967136150234744
420,豐原區,FD1,花胡瓜,227,131,83,0.42953131044936066,0.11817937116996763,0.5770925110132159,0.3656387665198238
105,台北市場,FE100,非洲菊-紅,183,96,82,0.49920874805760607,0.23500967927150962,0.5245901639344263,0.44808743169398907
700,台南市場,FE400,非洲菊-粉,204,111,82,0.48528059912288624,0.1388659747861987,0.5441176470588235,0.4019607843137255
700,台南市場,FH293,向日葵-單瓣,206,107,82,0.5027637837790535,0.16924029981584707,0.5194174757281553,0.39805825242718446
800,高雄市場,FE001,非洲菊-混合色,212,109,82,0.4496034282216912,0.14766788765139394,0.5141509433962265,0.3867924528301887
800,高雄市場,FS632,OT曼尼薩-雙朵,212,107,82,0.4459257333213215,0.14605603275632706,0.5047169811320755,0.3867924528301887
105,台北市場,FE205,非洲菊-哈利熊,213,109,82,0.47346053686742123,0.1737356424826556,0.5117370892018779,0.38497652582159625
241,三重區,LB2,小白菜-蚵仔白,214,96,82,0.5118809026886716,0.27585173787379264,0.4485981308411215,0.38317757009345793
241,三重區,LI5,萵苣菜-油麥菜,214,108,82,0.51652552763964,0.2212140673922878,0.5046728971962616,0.38317757009345793
105,台北市場,FH293,向日葵-單瓣,216,99,82,0.48612277861407777,0.19994747774630728,0.4583333333333333,0.37962962962962965
109,台北一,FT3,南瓜-黃如意,207,89,81,0.6102429617385902,0.44164964744780294,0.42995169082125606,0.391304347826087
104,台北二,FH4,扁蒲-梨子蒲,210,102,81,0.4969958742161648,0.19387113060013764,0.4857142857142857,0.38571428571428573
109,台北一,LB1,小白菜-土白菜,214,113,81,0.5047636139319394,0.17058350230920688,0.5280373831775701,0.37850467289719625
109,台北一,LK2,芥藍菜,214,97,81,0.5388630195325483,0.23613825358322094,0.4532710280373832,0.37850467289719625
220,板橋區,LC1,包心白-包白,214,112,81,0.4896889754664997,0.1783921838749477,0.5233644859813084,0.37850467289719625
105,台北市場,FE416,非洲菊-熱情粉,216,116,81,0.4324584005966877,0.14434433021958862,0.5370370370370371,0.375
